,T,lambda,gamma,strategy
0,10,0.25,,coop
1,10,0.25,,coop
2,10,0.25,,coop
3,10,0.25,,coop
4,10,0.25,,coop
5,10,0.25,,coop
6,10,0.25,,coop
7,10,0.25,,coop
8,10,0.25,,coop
9,10,0.25,,coop
10,10,0.25,,coop
11,10,0.25,,coop
12,10,0.25,,coop
13,10,0.25,,coop
14,10,0.25,,coop
15,10,0.25,,coop
16,10,0.25,,coop
17,10,0.25,,coop
18,10,0.25,,coop
19,10,0.25,,coop
20,10,0.25,,coop
21,10,0.25,,coop
22,10,0.25,,coop
23,10,0.25,,coop
24,10,0.25,,coop
25,10,0.25,,coop
26,10,0.25,,coop
27,10,0.25,,coop
28,10,0.25,,coop
29,10,0.25,,coop
30,10,0.25,,defect
31,10,0.25,,coop
32,10,0.25,,coop
33,10,0.25,,coop
34,10,0.25,,coop
35,10,0.25,,coop
36,10,0.25,,coop
37,10,0.25,,coop
38,10,0.25,,coop
39,10,0.25,,coop
40,10,0.25,,coop
41,10,0.25,,defect
42,10,0.25,,coop
43,10,0.25,,coop
44,10,0.25,,coop
45,10,0.25,,coop
46,10,0.25,,coop
47,10,0.25,,coop
48,10,0.25,,coop
49,10,0.25,,coop
50,10,0.25,,coop
51,10,0.25,,coop
52,10,0.25,,defect
53,10,0.25,,coop
54,10,0.25,,coop
55,10,0.25,,coop
56,10,0.25,,coop
57,10,0.25,,coop
58,10,0.25,,coop
59,10,0.25,,coop
60,10,0.25,,coop
61,10,0.25,,coop
62,10,0.25,,coop
63,10,0.25,,coop
64,10,0.25,,coop
65,10,0.25,,coop
66,10,0.25,,coop
67,10,0.25,,coop
68,10,0.25,,coop
69,10,0.25,,coop
70,10,0.25,,coop
71,10,0.25,,coop
72,10,0.25,,defect
73,10,0.25,,coop
74,10,0.25,,coop
75,10,0.25,,coop
76,10,0.25,,coop
77,10,0.25,,coop
78,10,0.25,,coop
79,10,0.25,,coop
80,10,0.25,,coop
81,10,0.25,,coop
82,10,0.25,,coop
83,10,0.25,,coop
84,10,0.25,,coop
85,10,0.25,,coop
86,10,0.25,,coop
87,10,0.25,,coop
88,10,0.25,,coop
89,10,0.25,,coop
90,10,0.25,,coop
91,10,0.25,,coop
92,10,0.25,,coop
93,10,0.25,,coop
94,10,0.25,,coop
95,10,0.25,,coop
96,10,0.25,,coop
97,10,0.25,,coop
98,10,0.25,,coop
99,10,0.25,,coop
100,10,0.25,,coop
101,10,0.25,,coop
102,10,0.25,,coop
103,10,0.25,,coop
104,10,0.25,,coop
105,10,0.25,,coop
106,10,0.25,,coop
107,10,0.25,,coop
108,10,0.25,,coop
109,10,0.25,,coop
110,10,0.25,,coop
111,10,0.25,,coop
112,10,0.25,,coop
113,10,0.25,,coop
114,10,0.25,,coop
115,10,0.25,,coop
116,10,0.25,,coop
117,10,0.25,,coop
118,10,0.25,,coop
119,10,0.25,,coop
120,10,0.25,,coop
121,10,0.25,,coop
122,10,0.25,,coop
123,10,0.25,,coop
124,10,0.25,,coop
125,10,0.25,,coop
126,10,0.25,,coop
127,10,0.25,,coop
128,10,0.25,,defect
129,10,0.25,,coop
130,10,0.25,,coop
131,10,0.25,,coop
132,10,0.25,,coop
133,10,0.25,,coop
134,10,0.25,,coop
135,10,0.25,,coop
136,10,0.25,,coop
137,10,0.25,,coop
138,10,0.25,,coop
139,10,0.25,,coop
140,10,0.25,,coop
141,10,0.25,,coop
142,10,0.25,,coop
143,10,0.25,,coop
144,10,0.25,,coop
145,10,0.25,,coop
146,10,0.25,,coop
147,10,0.25,,coop
148,10,0.25,,coop
149,10,0.25,,coop
150,10,0.25,,coop
151,10,0.25,,defect
152,10,0.25,,coop
153,10,0.25,,coop
154,10,0.25,,coop
155,10,0.25,,coop
156,10,0.25,,coop
157,10,0.25,,coop
158,10,0.25,,coop
159,10,0.25,,coop
160,10,0.25,,coop
161,10,0.25,,coop
162,10,0.25,,coop
163,10,0.25,,coop
164,10,0.25,,coop
165,10,0.25,,coop
166,10,0.25,,coop
167,10,0.25,,coop
168,10,0.25,,coop
169,10,0.25,,coop
170,10,0.25,,coop
171,10,0.25,,coop
172,10,0.25,,coop
173,10,0.25,,coop
174,10,0.25,,coop
175,10,0.25,,coop
176,10,0.25,,coop
177,10,0.25,,coop
178,10,0.25,,coop
179,10,0.25,,coop
180,10,0.25,,coop
181,10,0.25,,coop
182,10,0.25,,coop
183,10,0.25,,coop
184,10,0.25,,coop
185,10,0.25,,coop
186,10,0.25,,coop
187,10,0.25,,coop
188,10,0.25,,coop
189,10,0.25,,coop
190,10,0.25,,coop
191,10,0.25,,coop
192,10,0.25,,coop
193,10,0.25,,coop
194,10,0.25,,coop
195,10,0.25,,coop
196,10,0.25,,coop
197,10,0.25,,coop
198,10,0.25,,coop
199,10,0.25,,coop
200,10,0.25,,coop
201,10,0.25,,coop
202,10,0.25,,coop
203,10,0.25,,coop
204,10,0.25,,coop
205,10,0.25,,coop
206,10,0.25,,coop
207,10,0.25,,coop
208,10,0.25,,coop
209,10,0.25,,coop
210,10,0.25,,coop
211,10,0.25,,coop
212,10,0.25,,coop
213,10,0.25,,coop
214,10,0.25,,coop
215,10,0.25,,coop
216,10,0.25,,coop
217,10,0.25,,coop
218,10,0.25,,coop
219,10,0.25,,coop
220,10,0.25,,coop
221,10,0.25,,coop
222,10,0.25,,coop
223,10,0.25,,coop
224,10,0.25,,coop
225,10,0.25,,coop
226,10,0.25,,coop
227,10,0.25,,coop
228,10,0.25,,coop
229,10,0.25,,coop
230,10,0.25,,coop
231,10,0.25,,coop
232,10,0.25,,coop
233,10,0.25,,coop
234,10,0.25,,coop
235,10,0.25,,coop
236,10,0.25,,coop
237,10,0.25,,coop
238,10,0.25,,coop
239,10,0.25,,coop
240,10,0.25,,coop
241,10,0.25,,coop
