,T,lambda,gamma,strategy
0,10,0.25,11,80
1,10,0.25,11,80
2,10,0.25,11,70
3,10,0.25,11,70
4,10,0.25,11,60
5,10,0.25,11,70
6,10,0.25,11,60
7,10,0.25,11,60
8,10,0.25,11,50
9,10,0.25,11,70
10,10,0.25,11,80
11,10,0.25,11,70
12,10,0.25,11,70
13,10,0.25,11,70
14,10,0.25,11,80
15,10,0.25,11,60
16,10,0.25,11,70
17,10,0.25,11,60
18,10,0.25,11,80
19,10,0.25,11,80
20,10,0.25,11,60
21,10,0.25,11,80
22,10,0.25,11,80
23,10,0.25,11,80
24,10,0.25,11,40
25,10,0.25,11,70
26,10,0.25,11,80
27,10,0.25,11,70
28,10,0.25,11,60
29,10,0.25,11,50
30,10,0.25,11,70
31,10,0.25,11,80
32,10,0.25,11,70
33,10,0.25,11,80
34,10,0.25,11,80
35,10,0.25,11,70
36,10,0.25,11,70
37,10,0.25,11,50
38,10,0.25,11,60
39,10,0.25,11,60
40,10,0.25,11,60
41,10,0.25,11,80
42,10,0.25,11,50
43,10,0.25,11,70
44,10,0.25,11,80
45,10,0.25,11,80
46,10,0.25,11,70
47,10,0.25,11,50
48,10,0.25,11,50
49,10,0.25,11,80
50,10,0.25,11,50
51,10,0.25,11,60
52,10,0.25,11,80
53,10,0.25,11,60
54,10,0.25,11,60
55,10,0.25,11,60
56,10,0.25,11,60
57,10,0.25,11,60
58,10,0.25,11,30
59,10,0.25,11,60
60,10,0.25,11,70
61,10,0.25,11,70
62,10,0.25,11,70
63,10,0.25,11,60
64,10,0.25,11,80
65,10,0.25,11,70
66,10,0.25,11,60
67,10,0.25,11,40
68,10,0.25,11,80
69,10,0.25,11,70
70,10,0.25,11,60
71,10,0.25,11,80
72,10,0.25,11,80
73,10,0.25,11,60
74,10,0.25,11,50
75,10,0.25,11,70
76,10,0.25,11,70
77,10,0.25,11,70
78,10,0.25,11,70
79,10,0.25,11,60
80,10,0.25,11,60
81,10,0.25,11,70
82,10,0.25,11,70
83,10,0.25,11,70
84,10,0.25,11,60
85,10,0.25,11,70
86,10,0.25,11,70
87,10,0.25,11,50
88,10,0.25,11,60
89,10,0.25,11,70
90,10,0.25,11,80
91,10,0.25,11,80
92,10,0.25,11,80
93,10,0.25,11,80
94,10,0.25,11,70
95,10,0.25,11,80
96,10,0.25,11,60
97,10,0.25,11,70
98,10,0.25,11,80
99,10,0.25,11,30
100,10,0.25,11,70
101,10,0.25,11,70
102,10,0.25,11,60
103,10,0.25,11,70
104,10,0.25,11,80
105,10,0.25,11,80
106,10,0.25,11,70
107,10,0.25,11,70
108,10,0.25,11,70
109,10,0.25,11,40
110,10,0.25,11,70
111,10,0.25,11,70
112,10,0.25,11,40
113,10,0.25,11,60
114,10,0.25,11,70
115,10,0.25,11,70
116,10,0.25,11,80
117,10,0.25,11,40
118,10,0.25,11,70
119,10,0.25,11,80
120,10,0.25,11,70
121,10,0.25,11,80
122,10,0.25,11,80
123,10,0.25,11,80
124,10,0.25,11,80
125,10,0.25,11,70
126,10,0.25,11,70
127,10,0.25,11,80
128,10,0.25,11,80
129,10,0.25,11,70
130,10,0.25,11,70
131,10,0.25,11,60
132,10,0.25,11,80
133,10,0.25,11,70
134,10,0.25,11,70
135,10,0.25,11,60
136,10,0.25,11,70
137,10,0.25,11,70
138,10,0.25,11,70
139,10,0.25,11,60
140,10,0.25,11,70
141,10,0.25,11,80
142,10,0.25,11,70
143,10,0.25,11,80
144,10,0.25,11,60
145,10,0.25,11,80
146,10,0.25,11,70
147,10,0.25,11,70
148,10,0.25,11,70
149,10,0.25,11,70
150,10,0.25,11,80
151,10,0.25,11,50
152,10,0.25,11,80
153,10,0.25,11,70
154,10,0.25,11,80
155,10,0.25,11,60
156,10,0.25,11,70
157,10,0.25,11,70
158,10,0.25,11,60
159,10,0.25,11,70
160,10,0.25,11,80
161,10,0.25,11,70
162,10,0.25,11,80
163,10,0.25,11,70
164,10,0.25,11,80
165,10,0.25,11,60
166,10,0.25,11,80
167,10,0.25,11,60
168,10,0.25,11,70
169,10,0.25,11,80
170,10,0.25,11,70
171,10,0.25,11,70
172,10,0.25,11,70
173,10,0.25,11,70
174,10,0.25,11,60
175,10,0.25,11,60
176,10,0.25,11,40
177,10,0.25,11,80
178,10,0.25,11,80
179,10,0.25,11,70
180,10,0.25,11,80
181,10,0.25,11,60
182,10,0.25,11,80
183,10,0.25,11,70
184,10,0.25,11,70
185,10,0.25,11,80
186,10,0.25,11,50
187,10,0.25,11,70
188,10,0.25,11,80
189,10,0.25,11,70
190,10,0.25,11,70
191,10,0.25,11,70
192,10,0.25,11,80
193,10,0.25,11,80
194,10,0.25,11,60
195,10,0.25,11,80
196,10,0.25,11,70
197,10,0.25,11,70
198,10,0.25,11,50
199,10,0.25,11,70
200,10,0.25,11,60
201,10,0.25,11,50
202,10,0.25,11,80
203,10,0.25,11,60
204,10,0.25,11,60
205,10,0.25,11,60
206,10,0.25,11,70
207,10,0.25,11,70
208,10,0.25,11,50
209,10,0.25,11,80
210,10,0.25,11,50
211,10,0.25,11,70
212,10,0.25,11,50
213,10,0.25,11,70
214,10,0.25,11,80
215,10,0.25,11,80
216,10,0.25,11,70
217,10,0.25,11,80
218,10,0.25,11,70
219,10,0.25,11,80
220,10,0.25,11,60
221,10,0.25,11,60
222,10,0.25,11,60
223,10,0.25,11,70
224,10,0.25,11,70
225,10,0.25,11,70
226,10,0.25,11,70
227,10,0.25,11,70
